,season,team,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,OFG,OFGA,OFG%,O3P,O3PA,O3P%,O2P,O2PA,O2P%,OFT,OFTA,OFT%,OORB,ODRB,OTRB,OAST,OSTL,OBLK,OTOV,OPF,OPTS,champion
0,2024,Indiana Pacers,47.0,92.7,.507,13.2,35.3,.374,33.8,57.4,.589,16.1,20.5,.782,10.1,31.4,41.5,30.8,7.7,5.9,12.9,21.4,123.3,44.5,89.8,.496,10.7,29.3,.365,33.9,60.5,.560,20.5,26.0,.787,11.0,32.4,43.4,24.6,6.6,5.4,13.9,18.3,120.2,
1,2024,Boston Celtics,43.9,90.2,.487,16.5,42.5,.388,27.4,47.7,.575,16.3,20.2,.807,10.7,35.6,46.3,26.9,6.8,6.6,11.9,16.2,120.6,41.5,91.6,.453,12.9,36.7,.352,28.6,55.0,.520,13.3,17.3,.768,11.1,32.3,43.3,24.9,6.2,3.7,12.0,17.3,109.2,
2,2024,Oklahoma City Thunder,44.5,89.3,.499,13.3,34.2,.389,31.3,55.1,.567,17.7,21.5,.825,8.8,33.2,42.0,27.1,8.5,6.6,12.7,18.8,120.1,40.6,89.3,.455,13.4,37.2,.361,27.2,52.1,.522,18.1,22.9,.789,11.8,32.9,44.7,26.9,7.1,5.1,15.7,18.9,112.7,
3,2024,Milwaukee Bucks,43.1,88.5,.487,14.2,38.1,.373,29.0,50.4,.574,18.5,23.9,.774,9.4,34.8,44.2,26.5,6.8,5.0,12.9,19.2,119.0,43.2,91.9,.470,12.6,35.3,.356,30.6,56.6,.541,17.4,21.5,.807,10.3,33.7,44.0,26.5,7.1,4.2,12.0,19.2,116.4,
4,2024,Atlanta Hawks,43.0,92.5,.465,13.7,37.7,.364,29.3,54.8,.535,18.5,23.2,.797,12.5,32.2,44.7,26.6,7.5,4.5,13.5,18.6,118.3,44.6,90.2,.495,14.0,36.4,.384,30.6,53.7,.570,17.3,21.8,.792,10.6,33.6,44.2,28.2,7.8,5.6,14.1,19.4,120.5,
5,2024,Los Angeles Lakers,43.7,87.5,.499,11.8,31.4,.377,31.8,56.2,.567,18.9,24.2,.782,8.2,34.9,43.1,28.5,7.4,5.5,14.0,15.6,118.0,44.4,93.7,.474,14.3,37.9,.376,30.2,55.8,.540,14.3,18.0,.795,10.9,33.2,44.0,28.2,8.2,4.8,13.4,19.7,117.4,
6,2024,Dallas Mavericks,43.1,89.7,.481,14.6,39.5,.369,28.5,50.1,.569,17.0,22.5,.758,9.7,33.2,42.9,25.7,6.9,5.0,12.5,18.3,117.9,43.0,90.4,.475,13.1,35.6,.368,29.8,54.8,.545,16.6,21.6,.770,10.9,34.1,45.1,27.5,7.4,4.0,13.7,20.3,115.6,
7,2024,Golden State Warriors,43.7,91.6,.477,14.8,38.9,.380,28.9,52.7,.548,15.6,20.0,.780,12.1,34.6,46.7,29.3,7.0,4.6,14.3,19.5,117.8,42.1,90.4,.466,13.3,37.0,.359,28.8,53.5,.539,17.7,22.4,.788,10.9,32.0,42.9,26.7,7.7,5.0,13.0,17.9,115.2,
8,2024,Sacramento Kings,43.3,90.9,.477,14.4,39.3,.366,29.0,51.7,.561,15.5,20.9,.745,10.8,33.2,44.0,28.3,7.6,4.2,13.1,19.9,116.6,41.6,86.8,.480,13.1,33.8,.387,28.5,52.9,.539,18.5,23.1,.800,9.1,33.4,42.5,26.9,7.4,4.5,13.9,18.3,114.8,
9,2024,Phoenix Suns,42.5,86.1,.493,12.4,32.6,.382,30.0,53.6,.561,18.9,23.4,.808,10.1,33.9,44.1,27.0,7.4,6.0,14.9,18.0,116.2,42.0,90.6,.464,13.1,36.0,.364,28.9,54.6,.529,16.1,20.8,.774,11.0,30.4,41.3,26.3,8.4,4.5,12.7,19.7,113.2,
